Title,Video URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"detail from Aurowoch 06 21",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--Aurowoch_06-21.jpg,the-glass-pixel-details,,"Aurowoch: art for sale, by The Glass Pixel: Most of them really donâ€™t make much sense, taken at face value.",https://theglasspixel.art/images/2022/10/39-aurowoch.html,2022-11-04,"expressionism, lettrism, surrealism, abstract art, digital art, painting"
"detail from Circumfluent  Earthside 20",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--circumfluent--earthside-20.jpg,the-glass-pixel-details,,"From the Circumfluent Project: abstract gestures: from modern to contemporary: see germs destroyed: hear the waves in the sky: sense past memories floating by.",https://theglasspixel.art/circumfluent/2022/09/earthside.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
"detail from Lausafire 12",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--lausafire-12.jpg,the-glass-pixel-details,,"Lausafire: art for sale, by The Glass Pixel",https://theglasspixel.art/images/2022/10/36-lausafire.html,2022-11-04,"expressionism, lettrism, surrealism, abstract art, digital art, painting"
"detail from Beheild  Belgroved 0",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--beheild--Belgroved-0.jpg,the-glass-pixel-details,,"From the Beheild Project: Belgroved: These planes are to be attained by those having an astral sense.",https://theglasspixel.art/beheild/2022/11/belgroved.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
"detail from Circumfluent  Eyeluscious 05 11",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--circumfluent--eyeluscious_05-11.jpg,the-glass-pixel-details,,"From the Circumfluent Project:: Eyeluscious: How does the environment change the way you work?.",https://theglasspixel.art/circumfluent/2022/10/eyeluscious.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
"detail from Nectarial 17",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--nectarial-17.jpg,the-glass-pixel-details,,"Nectarial: art for sale, by The Glass Pixel",https://theglasspixel.art/images/2022/10/37-nectarial.html,2022-11-04,"expressionism, lettrism, surrealism, abstract art, digital art, painting"
"detail from Circumfluent  Follyages 05 16",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--circumfluent--follyages_05-16.jpg,the-glass-pixel-details,,"From the Circumfluent Project:: Follyages: self-perception as a place of rigid logic, unregulated by others.",https://theglasspixel.art/circumfluent/2022/10/follyages.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
"detail from Roseschelle  Bellevenue 18",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--roseschelle--bellevenue-18.jpg,the-glass-pixel-details,,"From the Roseschelle Project: Bellevenue: the centres, in this instance the net, is somewhat obscured by the addition of one-third.",https://theglasspixel.art/roseschelle/2022/10/bellevenue.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
"detail from Circumfluent  Follyages 04 9",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--circumfluent--follyages_04-9.jpg,the-glass-pixel-details,,"From the Circumfluent Project:: Follyages: self-perception as a place of rigid logic, unregulated by others.",https://theglasspixel.art/circumfluent/2022/10/follyages.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
"detail from Circumfluent  Follyages 21",https://raw.githubusercontent.com/theglasspixel/pintimages/main/img/1667582320/theglasspixel--digital-art--circumfluent--follyages-21.jpg,the-glass-pixel-details,,"From the Circumfluent Project:: Follyages: self-perception as a place of rigid logic, unregulated by others.",https://theglasspixel.art/circumfluent/2022/10/follyages.html,2022-11-04,"expressionism, surrealism, abstract art, digital art, painting, lettrism, typography"
